id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5270632,Luxury Apartment Riverwiew Garden,27267172,Marcos,PORTO,Lordelo do Ouro e Massarelos,41.14898,-8.63417,Entire home/apt,69,2,124,2024-06-25,1.17,8,0,2,20542/AL
5283892,traditional and Charming house,14948298,Maria De Lourdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14914,-8.60486,Entire home/apt,81,2,609,2024-09-12,5.24,2,281,51,44073/AL
5291799,Porto Insight Apartment - Bainharia free wi-fi,25741929,Anisabel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14419,-8.6133,Entire home/apt,247,2,197,2024-08-31,1.70,4,272,50,7979/AL
5296858,Suite dans Grande propriété Quinta de Sto Antonio,27433928,Marie,TROFA,Muro,41.28532,-8.59104,Private room,80,2,57,2024-08-24,0.50,2,333,4,
5312175,Oporto FR Cativo Flat,27518920,Fábio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14457,-8.6075,Entire home/apt,96,2,249,2024-06-23,2.14,4,297,19,10484/AL
5316637,Meet Porto Apartment,13776260,Francisco,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.18629,-8.66123,Entire home/apt,124,2,9,2023-07-27,0.08,4,323,0,8352/AL
5317199,Porto Centro SI4,1266562,Lovely,PORTO,Bonfim,41.1479,-8.60042,Entire home/apt,92,2,227,2023-12-06,1.98,18,289,4,7042/AL
5326623,"House in the city centre of Porto, free WiFi",21204371,Herminio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1432,-8.60261,Entire home/apt,66,2,277,2024-09-07,2.69,2,192,30,34661/AL
5332449,T I + I  CASA MUSICA - 6 Metro,20684504,Fernando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16017,-8.63266,Entire home/apt,,1,6,2018-04-01,0.05,1,0,0,
5351789,"Óporto.INguest, "" Unique experience residence """,27738605,António Manuel Pereira,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1627,-8.6209,Entire home/apt,145,3,108,2024-08-15,0.94,5,309,6,Exempt
5405099,cozy studio 2 in downtown Porto,1266562,Lovely,PORTO,Bonfim,41.14644,-8.59939,Entire home/apt,94,2,180,2023-08-18,1.55,18,295,0,109483/AL
5409513,SeaBreezeApartment-Wonderfull 1stline at the beach,28042320,Maria Angelina,VILA DO CONDE,Vila Chã,41.30262,-8.73697,Entire home/apt,75,30,11,2018-08-04,0.10,1,351,0,34075/AL
5465136,Casa de Salgueiros,5810647,José,PORTO,Paranhos,41.16996,-8.59715,Entire home/apt,280,3,29,2024-08-09,0.25,2,0,1,10248/AL
5473921,JF Cozy Apartment DOWNTOWN,28389484,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14778,-8.61501,Entire home/apt,76,2,350,2024-09-01,3.03,2,343,17,10994/AL
